Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
Pt1	0.0248878763680388	0	0.012926885592379	0.0888388058794358	0	0.0907364320041792	0.106101308980456	0.0248237172291987	0.00505943687157587	0.0144319034398677	0	0	0.00738336662015979	0.0315650196595681	0.102057593236119	0.254883238519072	0.0540420019913314	0	0.0260674238049824	0	0	0.00930386694700117	9999	0.211040743695298	1.00145262121196	0.853108877143365
Pt10	0.00226337229503184	0.00815042059595478	0	0.00787991190570331	0	0.0217781666796036	0	0.0071260899359083	0.00220531642745273	0	0.00216766984436947	0.00693604451617548	0.00693109952077419	0.0063181852169813	0.00368351270169863	0.0684347276039585	0.000127582693417099	0	0.00823576693045546	0	0	0	9999	0.155643984707135	1.03295829208425	0.152237866867485
Pt101	0.358633240302126	0.383086842547084	0	0.186061186840662	0.0381082145571751	0.0512395013465347	0.104039526031607	0.109903459650928	0.146685218826755	0	0	0.0201016801675167	0	0.119897431619421	0.141689701308576	0.107450775089225	0.00605324605456617	0	0.0113929423448811	0	0	0.0444423337037001	9999	0.629908853342805	0.794359246916325	1.82878530039076
Pt103	0.00528600123447649	0.010698918257008	0.00700149766413299	0.060674621031701	0	0.0593101225014856	0.00811217174972342	0.0161674611748239	0.00740054468733667	0.0138038443400257	0	0.0183861914140252	0	0.0247821198691281	0.0513279085066683	0.160587501629558	0.0354713893710748	0	0.0322231678227648	0	0	0	9999	0.432418326661794	0.900820667433103	0.511233461253933
Pt106	0.00998635768668329	0	0.000991573215278265	0.0616599985445153	0	0.0163733561718309	0.0130076140164484	0.0203339871786941	0.00782857357302717	0	0	0.0033447895347348	2.87338568191434e-05	0.0765809727838435	0.0247820095608941	0.187162200275989	0.00215072378636901	0	0.0101565127424355	0	0	0.000217083791098122	9999	0.209797816394211	1.02211738695339	0.43460448671866
Pt11	0.0273770410923124	0	0	0.12387965371249	0	0.0390403991779796	0.014132713897834	0.0420787462191501	0	0	0	0.0381446535874392	0.0439303207335705	0	0.114289562149967	0.195970787722843	0.0825690271988731	0	0.0433847396228337	0	0	0.0323602740803456	9999	0.244320543999767	0.991027053628479	0.797157919195639
Pt17	0.000152322682258386	0.000215003200049004	0.000107149248376736	0.00195238582279808	0	0.00690902697383008	0	0.000316525973256716	0.000253675891311188	0	0	0.00164155839628632	0.00258212858132622	0	0	0.0400115479126939	0.00033231001922129	0	0.00848199022437321	0	0	0	9999	0.03931197642975	1.1186322849378	0.0629556249257811
Pt18	0.322978422918535	0	0.0376185564866678	0.104368154740599	0	0.151112813409255	0.103235411443429	0.0636234809910688	0.00118140184503502	0.0142153656292538	0	0	0	0.0082748441948475	0.0979418271152417	0.28562145916089	0.00782781436250815	0	0.0240004436433163	0	0	0.0392890153137007	9999	0.405562657842019	0.913226817729494	1.26128901125435
Pt2	0.00954454648733338	0	0	0	0	0.152713300325738	0.0086647992066167	0.00431880998630114	0.0119662542503473	0.0324553497463122	0.0118317052019174	0	0.0392324498115946	0.059311142762244	0.0973548999459265	0.23392605163726	0.0159332595196221	0	0.0151871569731513	0	0	0.00660422078503293	9999	0.459212414743098	0.887790779116018	0.699043946639397
Pt24	0.0129251621355944	0.00536348730736055	0	0.0141912398493806	0	0	0	0.0224913219589534	0.010735226373289	0.0162296348778376	0	0.00706364344452028	0	0.169138056823832	0.00851996905592221	0.27182114834579	0.0188466349631811	0	0	0.0190674304377427	0	0.0110574197159152	9999	0.539129070315347	0.844599356145857	0.587450375289319
Pt26	0.0160104208428225	0	0.000967819395975663	0.0208088739318152	0	0.00794416087115618	0.00293083211171058	0.0251651211479258	0	0.00680309160171721	0	0.00260235154361254	0.00956590621134772	0	0.025002574197934	0.0643812032791189	0.00374555876958782	0	0.00373220021584194	0	0	0	9999	0.000656989244349747	1.09778853025215	0.189660114120566
