"entrezgene_id","Pt1","Pt10","Pt101","Pt103","Pt106","Pt11","Pt17","Pt18","Pt2","Pt24","Pt26","Pt27","Pt28","Pt29","Pt3","Pt30","Pt31","Pt34","Pt36","Pt37","Pt38","Pt39","Pt4","Pt44","Pt46","Pt47","Pt48","Pt49","Pt5","Pt52","Pt59","Pt62","Pt65","Pt66","Pt67","Pt72","Pt77","Pt78","Pt79","Pt8","Pt82","Pt84","Pt85","Pt89","Pt9","Pt90","Pt92","Pt94","Pt98"
1,436,306,279,1124,290,108,178,145,88,166,138,187,82,125,132,449,240,82,33,481,307,291,304,112,250,297,8869,196,312,5228,245,223,187,601,49,219,187,159,186,328,990,38,671,273,156,429,76,278,278
10,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,5,3,0,0,0,0,0,0,12,13,1,602,0,9,586,1,0,9,24,1,0,0,0,2,0,72,3,2,0,9,0,0,1,0
100,565,980,1630,1069,800,429,244,1140,887,384,60,61,177,562,1068,586,556,549,1536,233,708,1059,1363,470,1144,196,192,866,522,283,1003,946,572,1301,1300,463,838,1588,597,457,281,121,301,437,341,817,695,515,212
1000,67,338,228,23,3108,69,36,3683,981,295,167,1853,139,279,306,780,793,140,24,378,3032,146,214,3143,25,6992,4131,705,193,2493,580,120,1706,145,674,49,973,108,393,324,594,209,7728,388,4954,328,541,153,190
10000,6824,21827,2485,1337,9424,5105,1481,5479,6627,2015,9871,6519,3124,8440,13996,3208,5986,2991,3722,9974,10254,7877,11725,10851,1710,8642,2421,5842,4262,8251,6272,566,5139,5330,786,13093,7985,9106,9164,7398,5402,1338,18806,3938,7784,4094,5243,4953,5735
100009676,239,192,74,129,159,182,151,166,116,62,197,89,211,139,158,162,122,134,106,196,289,97,99,136,75,195,77,103,50,184,112,162,107,188,47,77,190,65,276,177,206,121,335,217,271,218,138,161,300
10001,1045,706,1189,484,1184,907,1049,906,890,884,1164,644,606,929,1398,710,730,581,630,827,925,568,1008,1111,677,757,419,763,717,598,751,856,746,898,403,572,694,581,633,1070,608,801,1545,1108,823,576,548,641,766
10002,1,11,0,0,7,7,1,1,2,4,7,11,4,8,0,7,2,2,0,26,0,3,4,18,0,15,3,1,6,0,0,9,2,7,6,4,0,0,9,6,0,0,2,10,3,2,4,6,7
10003,30,136,19,87,114,91,19,41,13,71,74,42,74,32,103,60,51,16,367,43,31,33,45,87,50,105,155,168,112,540,53,53,28,100,19,60,83,526,46,58,180,95,6,59,137,51,50,52,43
100033413,0,0,0,0,0,8,0,7,1,0,4,0,0,1,0,1,0,0,9,0,5,1,21,0,0,1,0,0,0,7,8,0,3,0,0,0,0,0,0,4,8,0,0,0,4,2,1,0,0
100033414,4,29,8,0,6,8,1,11,8,1,7,4,0,0,1,9,0,0,5,9,19,18,23,3,0,10,2,8,0,24,5,39,14,6,0,4,3,0,27,15,2,1,0,10,53,0,2,4,23
100033415,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2
100033417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033420,0,1,0,0,0,2,0,1,3,0,0,0,0,0,0,1,6,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0
100033422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033424,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0
100033425,6,23,4,0,2,4,0,16,6,1,4,0,0,4,0,3,3,0,0,0,4,10,21,2,0,2,0,0,0,6,2,6,5,10,2,7,0,0,20,5,6,7,0,6,22,0,3,5,10
100033427,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,1,0
100033428,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,5,0,1,0,0,0,0,2,0,0,0,0,13,1,0,0,1,2
100033430,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
