"Samples","Project_ID","MSI_category","MSI_status"
"TCGA_A6_6781","TCGA-COAD","MSI_H","MSI"
"TCGA_F4_6856","TCGA-COAD","MSI_H","MSI"
"TCGA_D5_5540","TCGA-COAD","MSI_L","MSS"
"TCGA_AA_3966","TCGA-COAD","MSI_H","MSI"
"TCGA_AA_A01P","TCGA-COAD","MSI_H","MSI"
"TCGA_AA_A00E","TCGA-COAD","MSI_H","MSI"
"TCGA_G4_6310","TCGA-COAD","MSS","MSS"
"TCGA_DY_A1DD","TCGA-READ","MSI_L","MSS"
"TCGA_A6_5661","TCGA-COAD","MSI_H","MSI"
"TCGA_DY_A1DG","TCGA-READ","MSS","MSS"
"TCGA_D5_6930","TCGA-COAD","MSI_H","MSI"
"TCGA_AA_3518","TCGA-COAD","MSI_H","MSI"
"TCGA_A6_5662","TCGA-COAD","MSS","MSS"
"TCGA_AA_3516","TCGA-COAD","MSI_H","MSI"
"TCGA_CM_6166","TCGA-COAD","MSS","MSS"
"TCGA_A6_6652","TCGA-COAD","MSS","MSS"
"TCGA_DY_A1H8","TCGA-READ","MSS","MSS"
"TCGA_DM_A1D0","TCGA-COAD","MSS","MSS"
"TCGA_G4_6317","TCGA-COAD","MSI_L","MSS"
"TCGA_AA_3949","TCGA-COAD","MSI_H","MSI"
